Insurance Policy,,,,,,,Managed by : Luke T. Lawson,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Policy Number,Start Date,Last Paid Date,Tenure (Years),Date of Purchase,Customer ID,Sum Assured INR/Coverage Amount,Premium Amount,Payment Frequency,Loan Eligible,Loan Amount Allowed,Underwriting expenses,Sales Agent Code,Purchase Month,Purchase Quarter,Purchase Year,Policy Anniversary Date,Claim ID,Policy Type Code,Policy Code,Policy Status,State,RM ID,Zonal Manager ID
INS-POL-287638,28-01-2017,28-Jan-25,20,28-Jan-17,CUST-912138,21622.70,222.90,Monthly,No,8347.07,105.92,AGT-6578,January,Q1,2017,28-Jan-18,CLM-163983,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-983850,27-10-2017,27-Oct-25,20,27-Oct-17,CUST-676760,1687.25,760.57,Annually,Yes,863.91,33.04,AGT-6578,October,Q4,2017,27-Oct-18,CLM-729665,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-892387,18-04-2022,18-Apr-25,20,18-Apr-22,CUST-189349,7285.90,495.12,Quarterly,Yes,4257.67,39.25,AGT-6578,April,Q2,2022,18-Apr-23,CLM-655001,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-204292,20-11-2019,20-Nov-25,20,20-Nov-19,CUST-567423,21794.65,1142.42,Annually,Yes,8615.91,55.48,AGT-6578,November,Q4,2019,20-Nov-20,CLM-101156,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-621019,13-02-2023,13-Feb-25,20,13-Feb-23,CUST-292627,22147.83,1049.81,Monthly,No,10175.61,60.78,AGT-6578,February,Q1,2023,13-Feb-24,CLM-762598,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-603900,19-04-2019,19-Apr-25,20,19-Apr-19,CUST-802812,15657.99,289.34,Quarterly,Yes,5929.38,89.27,AGT-6578,April,Q2,2019,19-Apr-20,CLM-739868,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-371850,26-08-2016,26-Aug-25,20,26-Aug-16,CUST-285115,21789.57,393.54,Annually,No,9698.70,86.92,AGT-6578,August,Q3,2016,26-Aug-17,CLM-590747,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-336174,12-08-2019,12-Aug-25,20,12-Aug-19,CUST-541584,8411.69,902.21,Quarterly,Yes,3077.70,50.45,AGT-6578,August,Q3,2019,12-Aug-20,CLM-597333,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-745853,14-11-2016,14-Nov-25,20,14-Nov-16,CUST-192788,3186.45,221.49,Quarterly,Yes,1662.32,79.12,AGT-6578,November,Q4,2016,14-Nov-17,CLM-765047,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
INS-POL-192191,06-01-2023,06-Jan-25,20,06-Jan-23,CUST-226778,17657.77,837.73,Annually,Yes,10426.57,15.84,AGT-6578,January,Q1,2023,06-Jan-24,CLM-790890,PT-UNCD988,UGP-PLCD-9834,Active,Minnesota,RMN7A3X1,ZMN8K2L1
